StatementID,Importance_mean,Importance_std,Importance_count,Importance_min,Importance_max,Feasibility_mean,Feasibility_std,Feasibility_count,Feasibility_min,Feasibility_max
1,4.25,1.1381803659589922,12,1.0,5.0,3.4166666666666665,0.996204919895622,12,1.0,5.0
2,3.75,1.4847711791873706,12,1.0,5.0,3.25,1.2880570286640687,12,1.0,5.0
3,4.083333333333333,1.2401124093721454,12,1.0,5.0,3.1666666666666665,1.0298573010888745,12,1.0,5.0
4,3.5833333333333335,1.0836246694508318,12,1.0,5.0,4.166666666666667,1.1146408580454257,12,1.0,5.0
5,3.3333333333333335,1.3026778945578592,12,1.0,5.0,2.727272727272727,0.9045340337332908,11,1.0,4.0
6,3.1666666666666665,1.0298573010888745,12,1.0,4.0,3.1666666666666665,1.4034589305344738,12,1.0,5.0
7,3.3333333333333335,1.2309149097933274,12,1.0,5.0,3.25,1.1381803659589922,12,1.0,5.0
8,4.0,1.1281521496355325,12,1.0,5.0,3.3333333333333335,0.8876253645985945,12,1.0,4.0
9,4.0,1.1281521496355325,12,1.0,5.0,3.5833333333333335,0.9962049198956219,12,1.0,5.0
10,3.0833333333333335,1.2401124093721454,12,1.0,5.0,2.75,0.9653072991634227,12,1.0,4.0
11,3.5833333333333335,1.164500152881315,12,1.0,5.0,3.75,1.2880570286640687,12,1.0,5.0
12,3.3333333333333335,1.302677894557859,12,1.0,5.0,3.3333333333333335,1.1547005383792515,12,1.0,5.0
13,3.0,1.1281521496355325,12,1.0,5.0,3.0,1.348399724926484,12,1.0,5.0
14,3.3333333333333335,1.2309149097933274,12,1.0,5.0,2.8333333333333335,0.9374368665610922,12,1.0,4.0
15,3.4166666666666665,1.1645001528813153,12,1.0,5.0,3.4166666666666665,0.996204919895622,12,1.0,5.0
16,3.1666666666666665,1.2673044646258476,12,1.0,5.0,3.0,1.2060453783110545,12,1.0,5.0
17,3.3333333333333335,1.2309149097933272,12,1.0,5.0,2.9166666666666665,1.3113721705515065,12,1.0,5.0
18,3.75,1.0552897060221726,12,1.0,5.0,3.6666666666666665,1.0730867399773196,12,1.0,5.0
19,3.5,1.087114613009218,12,1.0,5.0,3.4166666666666665,0.996204919895622,12,1.0,5.0
20,3.1666666666666665,1.0298573010888745,12,1.0,4.0,2.75,1.1381803659589922,12,1.0,5.0
21,2.8333333333333335,1.2673044646258473,12,1.0,5.0,3.5833333333333335,1.2401124093721456,12,1.0,5.0
22,3.25,1.0552897060221726,12,1.0,5.0,3.5833333333333335,1.2401124093721456,12,1.0,5.0
23,3.75,1.1381803659589922,12,1.0,5.0,4.0,1.2060453783110545,12,1.0,5.0
24,3.3333333333333335,1.2309149097933272,12,1.0,5.0,3.25,1.0552897060221726,12,1.0,5.0
25,3.0,1.348399724926484,12,1.0,5.0,3.0833333333333335,1.164500152881315,12,1.0,5.0
26,2.4166666666666665,1.378954368902449,12,1.0,5.0,2.25,0.9653072991634227,12,1.0,4.0
27,3.25,1.2154310870109943,12,1.0,5.0,3.5454545454545454,1.0357254813546264,11,1.0,5.0
28,2.8333333333333335,1.2673044646258473,12,1.0,5.0,3.25,1.0552897060221726,12,1.0,5.0
29,2.9166666666666665,1.378954368902449,12,1.0,5.0,2.5833333333333335,0.996204919895622,12,1.0,4.0
30,3.8333333333333335,1.1146408580454257,12,1.0,5.0,3.6666666666666665,1.0730867399773196,12,1.0,5.0
31,3.1666666666666665,1.1146408580454255,12,1.0,5.0,2.75,1.1381803659589922,12,1.0,5.0
32,2.8333333333333335,1.1146408580454255,12,1.0,5.0,2.25,0.7537783614444091,12,1.0,3.0
33,2.5833333333333335,1.4433756729740645,12,1.0,5.0,2.5,1.0,12,1.0,4.0
34,2.9166666666666665,1.0836246694508316,12,1.0,5.0,3.5,1.3142574813455419,12,1.0,5.0
35,3.0,1.1281521496355325,12,1.0,5.0,3.090909090909091,0.8312094145936334,11,1.0,4.0
36,3.0833333333333335,1.4433756729740645,12,1.0,5.0,3.0833333333333335,1.0836246694508316,12,1.0,5.0
37,3.1666666666666665,1.1934162828797101,12,1.0,5.0,4.181818181818182,1.2504544628399563,11,1.0,5.0
38,3.75,1.1381803659589922,12,1.0,5.0,3.1666666666666665,1.0298573010888745,12,1.0,5.0
39,3.8333333333333335,1.1934162828797101,12,1.0,5.0,3.5833333333333335,1.0836246694508318,12,1.0,5.0
40,3.4166666666666665,1.4433756729740645,12,1.0,5.0,3.0,0.9534625892455924,12,1.0,4.0
41,3.0833333333333335,0.90033663737852,12,1.0,4.0,3.4166666666666665,1.0836246694508318,12,1.0,5.0
42,3.6666666666666665,1.0730867399773196,12,1.0,5.0,3.5833333333333335,1.164500152881315,12,1.0,5.0
43,3.5,1.087114613009218,12,1.0,5.0,3.6666666666666665,1.1547005383792517,12,1.0,5.0
44,3.5833333333333335,1.0836246694508318,12,1.0,5.0,3.75,0.9653072991634227,12,1.0,5.0
45,2.9166666666666665,1.378954368902449,12,1.0,5.0,3.25,1.2154310870109943,12,1.0,5.0
46,3.5833333333333335,1.378954368902449,12,1.0,5.0,2.8333333333333335,1.403458930534474,12,1.0,5.0
47,2.5833333333333335,1.2401124093721456,12,1.0,4.0,2.5833333333333335,0.6685579234215214,12,1.0,3.0
48,3.0833333333333335,1.3789543689024493,12,1.0,5.0,2.8333333333333335,1.1934162828797101,12,1.0,5.0
49,3.3333333333333335,1.3026778945578592,12,1.0,5.0,2.75,1.1381803659589922,12,1.0,5.0
50,3.6666666666666665,1.1547005383792517,12,1.0,5.0,4.333333333333333,1.1547005383792515,12,1.0,5.0
51,3.25,1.0552897060221726,12,1.0,5.0,4.166666666666667,1.1146408580454257,12,1.0,5.0
52,2.75,1.2880570286640687,12,1.0,5.0,2.6666666666666665,0.7784989441615231,12,1.0,4.0
53,3.5833333333333335,1.164500152881315,12,1.0,5.0,3.75,1.3568010505999362,12,1.0,5.0
54,3.1666666666666665,1.1146408580454255,12,1.0,5.0,3.0,0.8528028654224418,12,1.0,4.0
55,3.1666666666666665,1.5859229221975182,12,1.0,5.0,2.8333333333333335,1.1934162828797101,12,1.0,5.0
56,3.1666666666666665,1.1146408580454255,12,1.0,5.0,3.25,0.9653072991634227,12,1.0,5.0
57,3.4166666666666665,1.164500152881315,12,1.0,5.0,4.25,1.2154310870109943,12,1.0,5.0
58,3.5833333333333335,0.9962049198956219,12,1.0,5.0,3.5,1.243163121016122,12,1.0,5.0
59,3.9166666666666665,1.0836246694508316,12,1.0,5.0,3.5833333333333335,1.0836246694508318,12,1.0,5.0
60,3.0833333333333335,1.0836246694508318,12,1.0,5.0,2.9166666666666665,0.7929614610987591,12,1.0,4.0
61,2.1666666666666665,0.937436866561092,12,1.0,3.0,2.5833333333333335,1.164500152881315,12,1.0,5.0
62,2.9166666666666665,1.0836246694508316,12,1.0,4.0,3.5833333333333335,1.2401124093721456,12,1.0,5.0
63,3.4166666666666665,0.996204919895622,12,1.0,5.0,2.5,0.9045340337332909,12,1.0,4.0
64,3.5833333333333335,1.0836246694508316,12,1.0,5.0,3.3333333333333335,1.0730867399773196,12,1.0,5.0
65,2.9166666666666665,1.164500152881315,12,1.0,5.0,2.9166666666666665,1.3113721705515065,12,1.0,5.0
66,3.25,1.3568010505999362,12,1.0,5.0,3.1666666666666665,0.9374368665610923,12,1.0,5.0
67,3.0833333333333335,1.3789543689024493,12,1.0,5.0,2.5,0.9045340337332909,12,1.0,4.0
68,3.1666666666666665,1.1934162828797101,12,1.0,5.0,4.083333333333333,1.164500152881315,12,1.0,5.0
69,3.9166666666666665,1.3113721705515065,12,1.0,5.0,4.166666666666667,1.1934162828797104,12,1.0,5.0
70,3.4166666666666665,1.0836246694508318,12,1.0,5.0,3.6666666666666665,1.1547005383792517,12,1.0,5.0
71,2.6666666666666665,1.2309149097933274,12,1.0,4.0,2.75,1.0552897060221726,12,1.0,5.0
72,3.5,1.1677484162422844,12,1.0,5.0,3.8333333333333335,1.1934162828797101,12,1.0,5.0
73,3.5,1.087114613009218,12,1.0,5.0,3.4166666666666665,0.90033663737852,12,1.0,4.0
74,2.8333333333333335,1.1934162828797101,12,1.0,5.0,3.4166666666666665,0.90033663737852,12,1.0,4.0
75,3.3333333333333335,1.3706888336846839,12,1.0,5.0,2.8333333333333335,1.0298573010888745,12,1.0,5.0
76,3.6666666666666665,0.8876253645985945,12,1.0,4.0,3.6666666666666665,1.0730867399773196,12,1.0,5.0
77,2.3333333333333335,1.3026778945578592,12,1.0,5.0,2.5,1.243163121016122,12,1.0,5.0
78,2.75,1.0552897060221726,12,1.0,4.0,2.5,1.087114613009218,12,1.0,4.0
79,3.5833333333333335,1.0836246694508316,12,1.0,5.0,3.25,1.2154310870109943,12,1.0,5.0
80,3.5,1.087114613009218,12,1.0,5.0,3.5833333333333335,1.0836246694508318,12,1.0,5.0
81,3.0833333333333335,1.3113721705515065,12,1.0,5.0,2.75,0.621581560508061,12,1.0,3.0
82,3.3333333333333335,1.2309149097933274,12,1.0,5.0,3.0,1.348399724926484,12,1.0,5.0
83,2.75,1.2154310870109943,12,1.0,5.0,2.4166666666666665,0.90033663737852,12,1.0,4.0
84,3.727272727272727,1.1037127426019047,11,1.0,5.0,4.083333333333333,1.378954368902449,12,1.0,5.0
85,3.5,1.1677484162422844,12,1.0,5.0,3.1666666666666665,1.1934162828797101,12,1.0,5.0
86,3.1666666666666665,1.1146408580454255,12,1.0,5.0,3.25,1.2880570286640687,12,1.0,5.0
87,2.1666666666666665,0.937436866561092,12,1.0,4.0,3.0833333333333335,1.2401124093721456,12,1.0,5.0
88,3.4166666666666665,1.1645001528813153,12,1.0,5.0,3.3333333333333335,0.8876253645985945,12,1.0,4.0
89,4.166666666666667,1.2673044646258476,12,1.0,5.0,4.0,1.2060453783110545,12,1.0,5.0
90,3.0833333333333335,1.164500152881315,12,1.0,5.0,3.4166666666666665,1.3113721705515067,12,1.0,5.0
91,2.9166666666666665,1.2401124093721456,12,1.0,5.0,2.4166666666666665,0.996204919895622,12,1.0,4.0
92,3.1666666666666665,1.1146408580454257,12,1.0,5.0,2.8333333333333335,0.9374368665610922,12,1.0,4.0
93,3.0,1.4142135623730951,12,1.0,5.0,2.9166666666666665,1.0836246694508316,12,1.0,5.0
94,3.9166666666666665,1.0836246694508316,12,1.0,5.0,2.9166666666666665,0.9962049198956219,12,1.0,4.0
95,2.8333333333333335,1.1934162828797101,12,1.0,5.0,2.9166666666666665,1.0836246694508316,12,1.0,5.0
96,3.0,1.4142135623730951,12,1.0,5.0,2.8333333333333335,1.1146408580454255,12,1.0,5.0
97,3.0,1.2060453783110545,12,1.0,5.0,3.3333333333333335,1.2309149097933274,12,1.0,5.0
98,3.8333333333333335,1.0298573010888745,12,1.0,5.0,3.5833333333333335,1.0836246694508318,12,1.0,5.0
99,2.75,1.3568010505999362,12,1.0,5.0,2.4166666666666665,0.9003366373785201,12,1.0,4.0
100,4.0,1.1281521496355325,12,1.0,5.0,4.083333333333333,1.2401124093721456,12,1.0,5.0
